,url,3rd_type
79,BB4SP.com,fake
108,bvanews.com,fake
126,christiantimesnewspaper.com,fake
286,extraclubmagazine.com,fake
366,ihavethetruth.com,fake
396,jewsnews.co.il,fake
448,magafeed.com,fake
696,sputniknews.com,fake
922,usherald.com,fake
